n,gamma_true,gamma_pred_RSLock,error_RSLock
1,14.134725141734695,14.099329551802,-0.035395589932694094
2,21.022039638771556,21.05574567529,0.033706036518445615
3,25.01085758014569,24.947740919296,-0.06311666084969048
4,30.424876125859512,30.525399521506,0.10052339564648705
5,32.93506158773919,32.854976617872,-0.08008496986719393
6,37.586178158825675,37.653113157334,0.06693499850832296
7,40.9187190121475,40.94826704508,0.029548032932503077
8,43.327073280915,43.21756534224,-0.10950793867500153
9,48.00515088116716,48.116486047914,0.11133516674684074
10,49.7738324776723,49.715913588512,-0.05791888916029819
11,52.970321477714464,52.90958017017,-0.060741307544461165
12,56.44624769706339,56.512185347572,0.06593765050860867
13,59.34704400260235,59.37381503723,0.02677103462765018
14,60.83177852460981,60.709795338594,-0.12198318601581093
15,65.1125440480816,65.241168170862,0.12862412278039415
16,67.07981052949417,67.090062320904,0.01025179140982857
17,69.54640171117398,69.47633379386,-0.07006791731399176
